RSU,OLT Type,Chasis No,Slot Number,Port Number,Odf Number,Fatbox,Splitter Name,Type,Card Number,IP,LCO Name,LCO ID,Deployment Partner name,Fiber Cable used,HP count,City ,latitude,longitude,Network Type
BUF,NOKIA,L1,1,6,BUF04,BUF040101,BUF04010101,NEW,1,,Bhopal,648489,Shiva Enterprises,12F,8,Vidisha,23.5073843,77.8229562,FTTH
BUF,NOKIA,L1,1,6,BUF04,BUF040102,BUF04010201,NEW,1,,Bhopal,648489,Shiva Enterprises,12F,8,Vidisha,23.5078883,77.8233423,FTTH
BUF,NOKIA,L1,1,6,BUF04,BUF040103,BUF04010301,NEW,1,,Bhopal,648489,Shiva Enterprises,12F,8,Vidisha,23.5075268,77.8236767,FTTH
BUF,NOKIA,L1,1,6,BUF04,BUF040104,BUF04010401,NEW,1,,Bhopal,648489,Shiva Enterprises,12F,8,Vidisha,23.508023,77.8236553,FTTH
BUF,NOKIA,L1,1,6,BUF04,BUF040105,BUF04010501,NEW,1,,Bhopal,648489,Shiva Enterprises,12F,8,Vidisha,23.5074463,77.8239933,FTTH
BUF,NOKIA,L1,1,6,BUF04,BUF040106,BUF04010601,NEW,1,,Bhopal,648489,Shiva Enterprises,12F,8,Vidisha,23.50777507,77.82417583,FTTH
BUF,NOKIA,L1,1,6,BUF04,BUF040107,BUF04010701,NEW,1,,Bhopal,648489,Shiva Enterprises,12F,8,Vidisha,23.50792155,77.8245846,FTTH
BUF,NOKIA,L1,1,6,BUF04,BUF040108,BUF04010801,NEW,1,,Bhopal,648489,Shiva Enterprises,12F,8,Vidisha,23.5081692,77.8240693,FTTH
BUF,NOKIA,L1,1,7,BUF04,BUF040201,BUF04020101,NEW,1,,Bhopal,648489,Shiva Enterprises,12F,8,Vidisha,23.5078551,77.8248208,FTTH
BUF,NOKIA,L1,1,7,BUF04,BUF040202,BUF04020201,NEW,1,,Bhopal,648489,Shiva Enterprises,12F,8,Vidisha,23.5072033,77.8241289,FTTH
BUF,NOKIA,L1,1,7,BUF04,BUF040203,BUF04020301,NEW,1,,Bhopal,648489,Shiva Enterprises,12F,8,Vidisha,23.50667366,77.82486956,FTTH
BUF,NOKIA,L1,1,7,BUF04,BUF040205,BUF04020501,NEW,1,,Bhopal,648489,Shiva Enterprises,12F,8,Vidisha,23.50804972,77.82516787,FTTH
BUF,NOKIA,L1,1,7,BUF04,BUF040206,BUF04020601,NEW,1,,Bhopal,648489,Shiva Enterprises,12F,8,Vidisha,23.50726024,77.82548925,FTTH
BUF,NOKIA,L1,1,7,BUF04,BUF040207,BUF04020701,NEW,1,,Bhopal,648489,Shiva Enterprises,12F,8,Vidisha,23.50786283,77.82571825,FTTH
